//X Y Z Nx Ny Nz
0.15904462 0.57399023 1.72589517 0.104070 0.994569 0.001073
0.04244030 0.58547491 1.41247606 0.083482 0.996504 0.003170
0.02108505 0.58757824 1.35674691 0.097074 0.995277 0.001067
0.15555838 0.57433361 1.78736949 0.125245 0.991986 0.016625
0.03777851 0.58593404 1.08506453 -0.011362 0.998854 0.046482
0.08514579 0.58126873 1.35998881 0.097074 0.995277 0.001067
0.13548525 0.57631063 1.59685314 0.109478 0.993974 -0.005420
0.09436632 0.58036059 1.33328235 0.097074 0.995277 0.001067
0.00086563 0.58956975 1.50265753 -0.025523 0.999486 0.019398
0.08589205 0.58119524 1.14889836 0.117655 0.992918 -0.016494
0.04168393 0.58554941 1.67329252 0.037842 0.999241 -0.009205
0.08788865 0.58099860 1.53333282 0.105413 0.994357 -0.011954
0.15771390 0.57412130 1.97494233 0.126879 0.991455 0.030316
0.07081789 0.58267993 1.70906281 0.101947 0.994789 0.001073
0.02872489 0.58682579 1.76612699 0.026143 0.998646 0.044965
0.05396052 0.58434027 1.34897780 0.097074 0.995277 0.001067
0.07612622 0.58215708 1.95196104 0.050459 0.984528 0.167804
0.14096075 0.57577133 0.62543416 0.151459 0.988412 -0.010097
0.18369594 0.57156223 1.56449676 0.120473 0.991934 -0.039407
0.06239933 0.58350909 0.32783237 0.080114 0.996620 -0.018159
0.18020003 0.57190651 0.35121432 0.099821 0.994991 0.005367
0.17342909 0.57257348 1.35981083 0.097074 0.995277 0.001067
0.05502966 0.58423495 0.41714868 0.031709 0.999346 0.017389
0.12636438 0.57720900 0.76937795 0.137042 0.990489 -0.012256
0.08702968 0.58108318 0.87359869 0.090344 0.995910 0.001063
0.19083709 0.57085890 1.86849427 0.208175 0.978074 0.005815
0.05265601 0.58446878 0.60076869 0.097074 0.995277 0.001067
0.17265588 0.57264960 1.55720091 0.120473 0.991934 -0.039407
0.13555163 0.57630408 0.37241605 0.101947 0.994785 0.003219
0.15819286 0.57407409 0.86958194 0.183394 0.983039 -0.001139
0.09630091 0.58017004 0.74707699 0.057136 0.998323 -0.009350
0.17134127 0.57277906 0.29604456 0.099821 0.994991 0.005367
0.14067839 0.57579911 0.92784274 0.169770 0.985126 0.026563
0.10483604 0.57932937 0.92475200 0.090535 0.995888 0.003195
0.28822476 0.54218775 1.17245245 0.291258 0.956644 -0.001219
0.19879252 0.56931686 0.37875921 0.107105 0.994233 0.005409
0.25206921 0.55315548 1.85558164 0.219035 0.975699 0.005857
0.33874390 0.52686286 1.73801851 0.439426 0.883203 -0.163878
0.22975928 0.55992311 0.69912004 0.221267 0.975213 0.001171
0.19967112 0.56905031 1.06977785 0.291258 0.956644 -0.001219
0.25609925 0.55193293 0.94446868 0.235024 0.971983 -0.003543
0.21961349 0.56300086 1.51327515 0.120473 0.991934 -0.039407
0.20671968 0.56691217 1.15749681 0.200562 0.979076 0.034416
0.31197217 0.53498399 1.40347397 0.368020 0.929668 -0.016670
0.22461911 0.56148237 1.99946809 0.250741 0.967835 0.020592
0.28376392 0.54354095 1.67990744 0.291258 0.956644 0.001219
0.31572229 0.53384644 1.97598302 0.291258 0.956644 0.001219
0.20166864 0.56844437 1.73774850 0.186117 0.982092 -0.029264
0.25285649 0.55291665 0.93733162 0.235024 0.971983 -0.003543
0.23211153 0.55920959 1.05002403 0.291258 0.956644 -0.001219
0.32696134 0.53043705 0.99653888 0.291258 0.956644 -0.001219
0.33371225 0.52838922 0.57429433 0.303658 0.952774 0.003688
0.33057255 0.52934164 0.65371394 0.302129 0.953247 0.006166
0.34618363 0.52460599 1.24409640 0.336660 0.941378 -0.021597
0.37247026 0.51663202 1.21440315 0.336660 0.941378 -0.021597
0.24672772 0.55477577 0.61444902 0.240467 0.970326 -0.025376
0.36100352 0.52011043 0.20747313 0.416143 0.909253 0.009132
0.35085529 0.52318889 0.34504497 0.421018 0.906706 0.025076
0.35115913 0.52309668 1.33567059 0.368020 0.929668 0.016670
0.31551987 0.53390783 0.46931621 0.291258 0.956644 0.001219
0.34625137 0.52458549 1.44839954 0.368020 0.929668 -0.016670
0.31791970 0.53317982 0.49087811 0.322190 0.946668 -0.003732
0.26741919 0.54849905 0.82654226 0.222278 0.974966 0.005880
0.29503149 0.54012293 1.08959687 0.291258 0.956644 -0.001219
0.36547151 0.51875508 1.47150552 0.390178 0.920717 0.006439
0.32151937 0.53208786 0.56255805 0.303658 0.952774 0.003688
0.32176864 0.53201222 0.55641305 0.303658 0.952774 0.003688
0.44634739 0.47950470 1.77195644 0.429405 0.902681 -0.027918
0.42870295 0.48893586 1.85680425 0.401391 0.915795 0.014289
0.41685459 0.49526891 1.18775690 0.442406 0.896697 0.014527
0.39356992 0.50771487 0.58975619 0.321433 0.946925 -0.003723
0.46224162 0.47100905 1.63153291 0.495132 0.868817 -0.001335
0.42344993 0.49174362 1.39272940 0.416132 0.909229 0.011740
0.42133045 0.49287653 1.36855519 0.365926 0.930643 0.001266
0.50713706 0.44701195 1.53517139 0.505777 0.862638 0.006708
0.44029954 0.48273733 0.92695224 0.471891 0.881656 0.001322
0.40962940 0.49913087 1.37278378 0.365926 0.930643 0.001266
0.46590489 0.46905100 1.54056501 0.460355 0.887734 -0.001319
0.39404473 0.50746107 1.48342824 0.390178 0.920717 0.006439
0.48533100 0.45866755 1.69892228 0.506950 0.861949 0.006723
0.40874925 0.49960130 1.46230662 0.423430 0.905852 0.011798
